Venue,Date,Description,Location,
Firehouse Saloon,6/24/00,,"Houston, TX",
Broken Spoke,6/29/00,,"Austin, TX",
City Limits,6/30/00,,"Stephenville, TX",
Tutter's,7/1/00,,"Conroe, TX",
Blanco's,7/6/00,,"Houston, TX",
Gruene Hall,9/23/00,,"New Braunfels, TX",
Aardvark,10/21/00,,"Fort Worth, TX",
Fort Worth Club,10/21/00,,"Fort Worth, TX",
KA Party,10/28/00,,,
Aggie Roundup,11/4/00,,"College Station, TX",
Blanco's,11/24/00,,"Houston, TX",
Corp Party,12/2/00,,"College Station, TX",
,2/10/01,,"College Station, TX",
,2/23/01,,"Houston, TX",
,3/3/01,,"Dallas, TX",
,3/31/01,,"Austin, TX",
,4/14/01,,"Dallas, TX",
Private   ,4/20/01,,,
,4/21/01,,"Corsicana, TX",
,4/25/01,,,
,5/4/01,,"College Station, TX",
,6/9/01,,"Austin, TX",
Bar at Union Station,6/15/01,,"Houston, TX",
,6/16/01,,"Dallas, TX",
Stubb's Barbecue,7/9/01,,"Austin, TX",
Recording at Cedar Creek,7/15/01,,"Austin, TX",
Gypsy Tea Room,7/21/01,,"Dallas, TX",
Private - Eddie Dean's Ranch KA,8/23/01,,"Dallas, TX",
Private - Sigma Chi House,8/24/01,,"Dallas, TX",
Aggie Yell Leaders,9/1/01,,"College Station, TX",
Shoney's Inn ,9/2/01,until 9/29/01,"Nashville, TN",
Ponderosa Ballroom,9/13/01,,"Abilene, TX",
Late Week Lazy Boy Supper Club,9/15/01,,"Archer City, TX",
Kinkaid School Party,10/5/01,120 minute set,"Houston, TX",
Momo's - Gruene with Envy,10/13/01,,"Austin, TX",
Private - Delta Gamma,10/25/01,,"Austin, TX",
University of Texas CLub,11/10/01,,"Austin, TX",
Stubb's Barbecue,11/17/01,,"Austin, TX",
"City Club - Private Party, Cynthia Nelms",11/30/01,2 x 75 minute sets,"Houston, TX",
Poor David's Pub,12/27/01,,"Dallas, TX",
Firehouse Saloon,1/3/02,,"Houston, TX",
Chicken Coop,1/11/02,,"Crosby, TX",
Golden Light Cantina,1/17/02,,"Amarillo, TX",
Blue Light Live,1/18/02,,"Lubbock, TX",
Antone's,1/19/02,,"Austin, TX",
Aardvark,1/24/02,,"Fort Worth, TX",
Cheatham Street Warehouse,1/25/02,,"San Marcos, TX",
Blanco's,1/31/02,,"Houston, TX",
Gruene Hall,2/1/02,,"New Braunfels, TX",
Private   ,2/4/02,,"Fort Worth, TX",
Antone's,2/7/02,,"Austin, TX",
Red Dirt Cafe,2/8/02,,"Norman, OK",
Wormy Dog Saloon,2/9/02,,"Stillwater, OK",
Poor David's Pub,2/15/02,,"Dallas, TX",
Nephew's,2/16/02,,"San Marcos, TX",
Clubhouse Concert,2/22/02,,"Fort Worth, TX",
Executive Surf Club,2/23/02,,"Corpus Christi, TX",
Aardvark,2/24/02,,"Fort Worth, TX",
Outskirts,2/28/02,with Chris Knight,"Wichita Falls, TX",
Golden Light Cantina,3/1/02,,"Amarillo, TX",
Blue Door,3/2/02,,"Lubbock, TX",
Cheatham Street Warehouse,3/5/02,,"San Marcos, TX",
Stubb's Barbecue,3/6/02,,"Austin, TX",
Firehouse Saloon,3/7/02,,"Houston, TX",
Allgood Caf_,3/8/02,,"Dallas, TX",
Thirsty Armadillo,3/10/02,,"Fort Worth, TX",
Adair's Saloon,3/15/02,,"Dallas, TX",
SXSW Showcase,3/16/02,,"Austin, TX",
Aardvark,3/21/02,,"Fort Worth, TX",
Red Dirt Cafe,3/22/02,,"Norman, OK",
Antone's,4/4/02,,"Austin, TX",
Poor David's Pub,4/5/02,,"Dallas, TX",
Texana Grill,4/7/02,,"1109 Interstate 20 W, Arlington, TX",
City Limits,4/12/02,,"Stephenville, TX",
Blue Light Live,4/13/02,,"Lubbock, TX",
ATO,4/22/02,,,
Sewanee Party,5/10/02,,"Sewanee, TN",
